date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-29,2769.58,24.45,75.69,35.38,61.5,232.33,281.75,27.88
2020-12-13,4809.56,61.87,97.56,37.95,80.58,449.49,529.86,35.82
2020-12-27,3797.35,50.19,74.18,39.6,56.43,326.83,388.82,27.55
2021-01-10,3076.22,45.72,65.74,28.84,62.26,264.3,311.7,21.71
2021-01-24,3576.91,47.49,68.08,45.39,61.23,405.07,460.2,18.17
2021-02-07,3714.7,42.16,78.91,40.01,62.71,353.83,417.68,22.63
2021-02-21,5505.84,69.03,96.15,50.41,81.88,589.84,688.64,29.05
2021-03-07,4041.12,52.44,74.86,65.62,70.12,322.62,400.29,37.71
2021-03-21,2539.08,24.29,59.66,63.58,62.41,196.51,268.9,27.43
2021-04-04,2045.76,14.85,50.99,88.37,55.99,146.4,200.05,26.65
2021-04-18,1716.56,8.52,48.81,102.76,63.27,118.39,167.44,26.37
2021-05-02,2020.68,13.54,53.84,99.16,68.98,133.46,182.53,27.94
2021-05-16,2062.28,7.82,61.0,103.48,75.74,154.66,202.31,25.62
2021-05-30,2416.02,12.24,69.05,111.92,66.77,184.36,239.58,26.22
2021-06-13,2797.82,16.54,69.85,124.3,79.79,244.59,324.12,23.51
2021-06-27,1469.59,6.88,47.61,120.55,72.39,121.24,173.13,18.34
2021-07-11,852.77,1.65,30.77,90.08,41.74,76.95,184.27,14.92
2021-07-25,1636.01,15.82,53.11,48.2,71.92,105.79,127.88,12.71
2021-08-08,2192.64,25.96,62.75,29.16,84.53,148.91,179.66,11.23
2021-08-22,2071.19,25.62,50.06,39.19,55.33,137.59,211.8,17.61
2021-09-05,1900.76,24.59,50.8,29.16,60.88,113.71,167.06,13.68
2021-09-19,1644.89,14.76,50.01,29.82,66.99,104.85,129.77,10.4
2021-10-03,1932.54,15.04,58.06,46.46,67.41,132.7,163.1,12.58
2021-10-17,3974.62,53.36,81.54,54.49,75.06,279.22,362.68,33.71
2021-10-31,2588.21,30.48,58.92,49.05,51.71,173.92,226.66,26.12
2021-11-14,4931.69,47.44,99.64,70.72,74.16,397.0,483.24,43.52
2021-11-28,5607.31,85.44,109.76,40.21,96.53,471.82,560.64,44.76
2021-12-12,4289.95,59.17,87.71,28.97,73.35,365.48,434.92,34.78
2021-12-26,5380.83,82.19,100.31,34.14,85.53,499.0,580.85,35.67
2022-01-09,4066.21,65.85,73.73,21.22,68.29,351.21,413.57,24.69
2022-01-23,4956.29,89.56,79.96,23.37,72.21,433.03,497.6,29.46
2022-02-06,3165.85,42.71,65.95,37.91,58.64,274.74,327.6,20.35
2022-02-20,4808.67,73.89,80.56,42.64,73.45,420.09,505.06,32.3
2022-03-06,2982.93,31.34,68.56,66.44,63.05,242.45,294.98,25.26
2022-03-20,2632.48,18.07,62.26,80.51,55.28,230.04,293.65,27.23
2022-04-03,2672.18,21.06,61.69,95.71,69.12,201.3,274.25,35.04
2022-04-17,2227.45,15.43,58.29,95.92,67.14,139.1,196.38,29.52
2022-05-01,1590.53,8.52,43.94,106.87,57.35,105.55,162.81,24.71
2022-05-15,1652.29,7.16,44.82,135.17,65.02,127.8,175.41,24.32
2022-05-29,1709.62,6.73,47.46,113.76,58.73,153.05,259.88,22.54
2022-06-12,1960.76,12.98,55.67,87.4,53.16,135.85,296.6,27.29
2022-06-26,1261.47,5.73,39.69,93.71,44.92,78.46,114.99,16.54
2022-07-10,1750.21,13.3,58.34,56.13,76.14,105.71,135.57,15.56
2022-07-24,1839.6,10.24,65.99,62.66,85.94,133.84,161.41,13.14
2022-08-07,1871.96,24.87,48.45,29.17,61.39,102.99,129.04,12.48
2022-08-21,1419.63,11.85,43.88,45.93,55.35,85.64,109.49,12.33
2022-09-04,1445.53,15.56,37.57,55.13,45.69,84.78,120.95,18.0
2022-09-18,1607.42,13.6,47.79,57.52,64.36,107.09,144.98,17.53
2022-10-02,3101.59,42.07,57.7,41.77,66.49,222.69,286.55,17.23
2022-10-16,2326.91,23.67,61.35,34.85,68.7,167.46,210.2,18.85
2022-10-30,5258.46,72.82,114.8,50.27,90.93,378.84,479.1,50.81
2022-11-13,4990.45,65.17,104.03,51.6,89.54,421.64,514.94,39.89
2022-11-27,3510.08,47.33,76.03,42.92,60.55,257.97,322.62,35.88
2022-12-11,4355.4,67.62,82.5,37.8,62.88,374.94,452.02,32.21
2022-12-25,3356.01,38.94,72.01,37.26,54.93,315.29,374.37,25.42
2023-01-08,3821.76,48.52,75.33,34.01,59.74,371.97,433.57,23.71
2023-01-22,3455.98,44.92,72.22,32.36,64.51,327.19,383.67,26.0
2023-02-05,4019.39,62.03,69.02,28.23,60.6,366.52,463.29,28.8
